always_blocks,and_count,bind_count,case_count,dff_count,estimated_depth,if_count,instance_count,module_name,module_type,mux_count,not_count,num_cells,num_wires,or_count,plus_count,signal_count,term_count,xor_count
3,0,5,5,5,12,10,1,edge_detector,Sequential,2,1,1,4,0,0,7,7,0
3,0,8,5,1,9,10,1,priority_encoder,Sequential,,0,5,8,0,0,4,9,0
3,0,1,5,,11,10,1,shift_reg,Memory,,0,,,0,0,4,4,0
3,0,1,5,1,8,10,1,clock_gating_cell,Sequential,1,0,2,4,0,0,3,3,0
3,0,2,5,,12,10,1,bin2dec,Arithmetic,,4,,,0,3,2,3,0
3,0,4,5,,8,10,1,Comparator,Combinational,3,0,6,8,0,0,5,6,0
3,3,3,5,,6,10,1,combinational_logic,Combinational,,1,5,11,1,0,8,8,0
3,0,272,5,,11,10,3,parity_based_mux_demux,Arithmetic,,0,,,0,2,17,275,1
3,0,13,5,,9,10,4,adder_subtractor,Arithmetic,,0,,,0,2,16,16,0
3,2,1,5,,8,10,1,xor_module,Combinational,,2,5,7,1,0,3,3,0
3,3,2,5,,8,10,1,max_finder,Combinational,3,0,8,10,0,0,5,5,0
3,0,2,5,3,14,10,1,rotator,Sequential,8,0,1,5,0,0,6,6,0
3,0,4,5,,9,10,1,mux4_ctrl,Combinational,,1,2,7,0,0,6,9,0
3,0,1,5,,9,10,1,adder_subtractor,Arithmetic,1,0,3,6,0,1,4,4,0
3,0,5,5,,11,10,1,barrel_shifter,Combinational,3,0,3,8,0,0,7,9,0
3,36,3,5,,11,10,1,top_module,Combinational,16,2,21,25,0,0,12,12,0
3,0,3,5,2,11,10,1,bcd_counter,Counter,2,0,1,4,0,1,5,5,0
3,2,4,5,,14,10,1,top_module,Sequential,5,2,12,21,1,0,12,12,0
3,0,2,5,1,12,10,1,shift_register,Sequential,2,0,3,8,0,0,6,6,0
3,0,2,5,4,10,10,1,ram_rw,Memory,3,0,9,13,0,0,8,8,0
3,0,3,5,2,9,10,1,toggle2pulse,Combinational,3,1,7,10,0,0,6,6,1
3,9,14,5,10,13,10,1,fifo_async_4bit_wr_logic,Arithmetic,33,3,56,68,0,3,22,23,0
3,0,2,5,,9,10,1,test,Arithmetic,,0,,,6,1,4,6,0
3,0,6,5,,8,10,1,hls_contrast_streibs_DSP48_6,Arithmetic,,0,2,9,0,1,9,9,0
3,1,7,5,4,10,10,1,m26_rx_ch,Interface,5,1,22,27,3,3,11,11,0
3,0,9,5,2,12,10,1,up_down_counter_adder,Counter,6,1,11,17,0,3,11,15,0
3,0,2,5,4,10,10,1,memory16,Combinational,3,0,9,12,0,0,6,6,0
3,0,6,5,,12,10,1,Sensor_Interface,Combinational,,0,,,0,0,8,10,0
3,2,6,5,2,11,10,1,modulator,Combinational,5,0,20,27,0,0,10,10,1
3,3,1,5,,8,10,1,buffer,Combinational,,0,0,2,2,0,2,2,0
3,0,4,5,,9,10,1,full_adder,Combinational,,0,2,7,0,5,7,7,0
3,6,3,5,,8,10,1,sky130_fd_sc_hvl__and3,Combinational,1,0,3,10,0,0,8,10,0
3,3,6,5,,11,10,1,barrel_shifter,Combinational,1,5,1,4,0,0,5,9,0
3,0,4,5,9,13,10,1,chatgpt_generate_RAM,Memory,19,0,49,56,0,2,11,11,0
3,0,5,5,,11,10,1,barrel_shifter,Combinational,1,0,6,8,0,0,3,7,0
3,3,4,5,,9,10,1,and_module,Interface,,4,,,0,0,8,8,0
3,0,2,5,,11,10,1,counter,Counter,2,0,5,8,0,1,5,5,0
3,0,1,5,,6,10,1,mux_2to1,Combinational,1,0,1,4,0,0,4,4,0
3,0,5,5,,8,10,1,nor3,Combinational,,1,3,10,2,0,8,8,0
3,0,4,5,,12,10,1,add_sub_mux,Arithmetic,7,0,15,25,0,1,14,14,0
3,2,99,5,,15,10,1,hamming_code,Arithmetic,,1,0,9,0,10,11,102,4
3,0,10,5,5,12,10,1,iq_comp,Sequential,10,0,19,32,0,1,18,18,0
3,0,1,5,,12,10,1,comparator,Arithmetic,2,1,5,6,0,3,3,3,0
3,0,2,5,,12,10,1,counter_4bit,Counter,2,0,6,8,0,1,4,4,0
3,0,1,5,1,13,10,1,counter,Counter,3,0,6,10,0,1,5,5,0
3,0,1,5,,11,10,1,digital_system,Arithmetic,1,0,6,10,0,3,5,5,0
3,0,25,5,,11,10,1,mux6to1_pipeline,Combinational,2,0,10,18,0,0,11,32,0
3,0,7,5,2,11,10,1,seq_detector,Combinational,5,1,15,16,0,0,4,8,0
3,0,2,5,2,11,10,1,binary_counter,Counter,3,0,7,9,0,1,4,4,0
3,0,7,5,2,7,10,1,outbuf,Combinational,1,0,3,8,0,0,8,10,0
3,0,8,5,,7,10,1,vio_0,Sequential,,0,0,9,0,0,9,9,0
